nr_convenio;id_proposta
743183;318410
836166;1064617
714251;62772
914735;1661592
931963;1784693
925102;1682956
909380;1614696
753154;375491
790004;741699
955515;1952159
952695;1943466
964928;1986589
792946;758479
865179;1326932
986399;2150343
758473;435446
716789;140826
842472;1132198
816397;952888
722511;101219
977585;2061239
789465;759841
961269;1978834
837204;1109675
742332;284310
825836;1037207
936750;1817618
710070;107766
935017;1800809
819779;983006
875578;1337336
946825;1927420
951077;1940348
798165;817650
708601;111552
817390;995268
975520;2093696
927009;1755344
948063;1882348
924619;1723293
983275;2131251
849906;1220871
836644;1107906
944130;1886356
898925;1532224
878123;1382190
821996;1006053
843789;1166616
886470;1420199
981576;2124585
777597;651706
989690;2143141
951310;1944661
863580;1289397
914878;1667476
747612;329955
916105;1675679
855863;1257693
920056;1706528
909872;1655418
983087;2099570
896065;1521187
980007;2126938
847182;1167065
826359;1035853
920934;1686649
708259;86641
887654;1422685
812471;915575
991913;2121924
991291;2128712
879889;1392735
877507;1380350
975548;2087728
735600;176251
758440;434746
704950;81807
949423;1927643
740187;305766
976162;2073833
895864;1521918
782769;717093
866190;1332251
985274;2119839
849144;1204699
859036;1201831
886792;1420491
857810;1199086
828118;1065996
976115;2093283
993867;2186276
923295;1711346
824353;1015963
907981;1614342
885639;1423397
855702;1270364
802862;861655
814378;923855
714356;93030
956506;1971738
951643;1945371
987330;2112331
727269;162331
876119;1329205
743705;256588
993004;2179122
716842;137807
745306;213953
769914;568696
990865;2163466
761609;509405
762464;519004
759976;462966
768179;525783
955114;1943015
776459;628033
859251;1283261
763690;478175
989233;2153342
939527;1826684
888855;1485276
837484;1105037
777514;600501
902888;1575612
702461;32004
914783;1666557
993126;2113059
724506;73658
898357;1532435
769786;591528
991071;2163028
916004;1671581
775122;576341
822053;1006485
719501;127278
740673;209620
907243;1609992
941273;1856275
972943;1965748
739249;204071
729246;176790
876422;1378295
900595;1552860
805092;859476
976642;2093668
725891;128761
907154;1611417
718483;149013
923622;1711242
834479;1057089
805244;852630
939681;1819916
873796;1335428
769891;567214
983066;2142239
772027;577898
710002;100404
930204;1750236
937577;1822464
838315;1119116
755834;428008
701159;9008
956926;1974797
750152;291675
767967;446935
855637;1274105
850984;1254412
910152;1671401
766894;528932
702687;35015
872148;1336827
981274;2124217
877494;1370401
769528;565733
937631;1817331
753880;193903
940628;1855458
983971;2118821
870197;1346945
767674;499970
891798;1424936
841109;1128648
987504;2152809
823648;1021409
977586;2064190
795857;739482
777187;631464
949725;1865504
829344;1066967
849469;1232980
822508;973770
708984;119834
955440;1914221
867511;1333745
804488;862651
978921;2120735
731471;105353
945686;1854283
813067;858173
984610;2141806
822021;1006333
706291;62196
965650;2001771
744663;315944
908544;1611126
806807;848403
717858;153587
837935;1066416
774597;613438
718981;99585
866857;1332875
715969;121141
905130;1596990
769655;572116
716899;105267
791545;778591
863069;1167296
800221;820149
823556;1031048
857792;1231207
908951;1613718
904026;1575984
793513;775853
875285;1368913
757093;483661
842317;1131806
873055;1361886
702302;10612
889756;1465536
960072;1987194
989073;2157901
812304;912779
924262;1685566
951468;1934226
932565;1791210
899539;1555643
926621;1754441
960204;1963541
821901;1005933
898579;1551052
817066;969264
964848;1963327
877502;1380637
942271;1886279
878361;1377543
786665;772406
837020;1111247
967874;1966424
895445;1486926
955195;1950364
748145;215140
719882;42904
907493;1605212
966158;1993771
887679;1470280
973705;2041402
749546;346328
995685;2118858
761580;357514
891242;1515098
979904;2123695
953723;1946925
798075;724517
846954;1157213
994849;2198503
898570;1539063
701183;9381
739842;290744
705191;62581
867128;1328390
732878;192944
806306;873000
729756;177827
797960;685487
802793;853148
826501;1032385
843914;1173615
852427;1264691
960079;1965665
759440;446313
921713;1728222
982490;2098315
926739;1751607
838091;1104173
810906;886195
795588;731802
726056;164787
783737;709530
864146;1326278
953389;1948107
864070;1324427
945547;1885836
892856;1425458
838105;1117571
786822;753154
762011;516889
931819;1786444
745650;317013
878331;1336273
773155;583717
842301;1132708
878305;1333763
767632;509386
893087;1468087
706783;99572
940863;1854832
731847;107837
911706;1675653
918077;1671715
905886;1606582
936918;1812668
941063;1842963
792961;745601
800791;762096
835223;1092626
709693;92332
990816;2163414
872520;1335213
759119;463693
917334;1675739
762909;484947
792976;757836
928541;1748244
